content,score,at,bank,month_year,content_process,sentiment
"Sekelas bank dengan nama yang besar masa tidak ada fitur earnings? Malu dong sama sekelas  e-wallet aja ada fitur ini. Semoga fitur ini segera di keluarkan, sangat perlu untuk melihat jumlah transfer yang masuk. Oh ya satu lagi dari segi UI masih agak merepotkan bagi saya",1,2024-04-15 08:09:04,BCA,2024-04,"Sekelas bank dengan nama yang besar masa tidak ada fitur earnings? Malu dong sama sekelas e-wallet aja ada fitur ini. Semoga fitur ini segera di keluarkan, sangat perlu untuk melihat jumlah transfer yang masuk. Oh ya satu lagi dari segi UI masih agak merepotkan bagi saya",negative
"Apps yg memudahkan untuk memantau semua rekening dan investasi, m-bca dan klik bca dalam satu genggaman. Safety juga lebih ketat pake biometric dan tentunya ga ribet. Great Job BCA",5,2024-04-15 07:32:33,BCA,2024-04,"Apps yg memudahkan untuk memantau semua rekening dan investasi, m-bca dan klik bca dalam satu genggaman. Safety juga lebih ketat pake biometric dan tentunya ga ribet. Great Job BCA",positive
"Permisi, mau usul…
Hadirkan fitur Qris sumber dana dari kredit card ya..
Terimakasih",5,2024-04-12 23:13:14,BCA,2024-04,"Permisi, mau usul Hadirkan fitur Qris sumber dana dari kredit card ya.. Terimakasih",negative
Kode aktivasi tidak terkirim terus!. Udh habis pulsa banyak juga ga kekirim terus. Harus kya mana ini? Tanya cs cuma bilng suruh nunggu 1x24 jam agar id kereset. Tolong lah dicek ini masalah kenapa.,2,2024-04-11 01:45:40,BCA,2024-04,Kode aktivasi tidak terkirim terus!. Udh habis pulsa banyak juga ga kekirim terus. Harus kya mana ini? Tanya cs cuma bilng suruh nunggu 1x24 jam agar id kereset. Tolong lah dicek ini masalah kenapa.,negative
Jauh dari bni,1,2024-04-05 21:22:33,BCA,2024-04,Jauh dari bni,negative
"saya kira proses validasi OTP sudah waktunya memanfaatkan fitur messenger salah satunya aplikasi whatsapps, dengan alasan analisis soal keterjangkauan signal provider itu belum semua wilayah/daerah terjangkau, dan OTP via SMS sudah terlalu JADUL/old. seperti fitur sebelah, mereka sudah memanfaatkan OTP whatsapps.
jadi minimalnya ada opsi untuk proses validasi OTP SMS/Whatsapps karena kita bukan hidup dijaman Pitecanthropus Erectus.
semoga usulan atau teknis problemnya dapat diakomodir terimakasih .",3,2024-04-05 08:15:44,BCA,2024-04,"saya kira proses validasi OTP sudah waktunya memanfaatkan fitur messenger salah satunya aplikasi whatsapps, dengan alasan analisis soal keterjangkauan signal provider itu belum semua wilayah/daerah terjangkau, dan OTP via SMS sudah terlalu JADUL/old. seperti fitur sebelah, mereka sudah memanfaatkan OTP whatsapps. jadi minimalnya ada opsi untuk proses validasi OTP SMS/Whatsapps karena kita bukan hidup dijaman Pitecanthropus Erectus. semoga usulan atau teknis problemnya dapat diakomodir terimakasih .",negative
Aplikasi busuk transaksi pembayaran saya melalui qris pada tanggal 19 Oktober 2023 masih dalam proses sampai sekarang tanggal 5 April 2024. Padahal bank nomor 1 di Indo tapi aja jelek. Trauma pakai BCA,1,2024-04-05 05:44:09,BCA,2024-04,Aplikasi busuk transaksi pembayaran saya melalui qris pada tanggal 19 Oktober 2023 masih dalam proses sampai sekarang tanggal 5 April 2024. Padahal bank nomor 1 di Indo tapi aja jelek. Trauma pakai BCA,negative
"Saya ga paham salahnya dimana. Berkali-kali verifikasi via sms tapi dibilang gagal terus, dan disuruh pastiin dikirimnya ke 8988, tolong dong. Ini aplikasinya gimana ya sistemnya. Padahal udah dapat email juga untuk activate id, dan sukses, tp giliran verifikasi via sms, gagal terus. Gimana nih bca? Soalnya pas liat review, pada banyak yang punya kasus sama kayak saya.",1,2024-04-04 20:09:41,BCA,2024-04,"Saya ga paham salahnya dimana. Berkali-kali verifikasi via sms tapi dibilang gagal terus, dan disuruh pastiin dikirimnya ke 8988, tolong dong. Ini aplikasinya gimana ya sistemnya. Padahal udah dapat email juga untuk activate id, dan sukses, tp giliran verifikasi via sms, gagal terus. Gimana nih bca? Soalnya pas liat review, pada banyak yang punya kasus sama kayak saya.",negative
Halah baru instal udah eror aja,1,2024-04-04 11:36:40,BCA,2024-04,Halah baru instal udah eror aja,negative
Hai developer . Kenapa blikir sementara kk jadi hanya 5x? Berhubung kk bca sering di bobol. Kami sangat butuh atur kontrol buka tutup blokir sementara nya.,1,2024-04-04 03:15:06,BCA,2024-04,Hai developer . Kenapa blikir sementara kk jadi hanya 5x? Berhubung kk bca sering di bobol. Kami sangat butuh atur kontrol buka tutup blokir sementara nya.,negative
"Sudah foto ktp sejelas mungkin, ulang ulang isi data, verifikasi foto pun sama. Gagal terus, meski gimana dah biar berhasil. Dalah pakai aplikasi jadul yang tiap transfer harus ss karena ga bisa langsung share bukti transfer. Hoam",1,2024-04-03 09:14:06,BCA,2024-04,"Sudah foto ktp sejelas mungkin, ulang ulang isi data, verifikasi foto pun sama. Gagal terus, meski gimana dah biar berhasil. Dalah pakai aplikasi jadul yang tiap transfer harus ss karena ga bisa langsung share bukti transfer. Hoam",negative
"Ganti HP atau cabut Simcard harus menunggu verifikasi dari “Tim Terkait BCA”
Di mana time window nya 1x 24jam.

Jadi siap siap aja gak bisa transaksi sampai di hubungi Yg berkuasa “Tim Terkait BCA” 
Coba hubungin call center dan minta di sambungi via call center untuk di Verifikasi oleh “Tim Terkait BCA” juga tidak bisa…. Kayanya harus outbound call.

Sangat memalukan sih untuk sekelas BCA, aplikasi nya kalah jauh dari Livin Mandiri dan Octomobile CIMB.",1,2024-04-03 04:06:16,BCA,2024-04,"Ganti HP atau cabut Simcard harus menunggu verifikasi dari Tim Terkait BCA Di mana time window nya 1x 24jam. Jadi siap siap aja gak bisa transaksi sampai di hubungi Yg berkuasa Tim Terkait BCA Coba hubungin call center dan minta di sambungi via call center untuk di Verifikasi oleh Tim Terkait BCA juga tidak bisa. Kayanya harus outbound call. Sangat memalukan sih untuk sekelas BCA, aplikasi nya kalah jauh dari Livin Mandiri dan Octomobile CIMB.",negative
Security over anxiety ini bank. Multi security yg mempersulit user.,2,2024-04-02 15:40:46,BCA,2024-04,Security over anxiety ini bank. Multi security yg mempersulit user.,negative
Daftar my bca gagal mulu nyedot pulsa doank tiap x kirim sms…,2,2024-04-02 03:54:34,BCA,2024-04,Daftar my bca gagal mulu nyedot pulsa doank tiap x kirim sms,negative
"saya kasih bintang 5 jika ada fitur tambahan notifikasi uang masuk, bukan hanya notifikasi uang keluar saja",4,2024-04-01 17:18:35,BCA,2024-04,"saya kasih bintang 5 jika ada fitur tambahan notifikasi uang masuk, bukan hanya notifikasi uang keluar saja",negative
"Di mybca belum ada fitur lifestyle, seperti di bca mobile sayangnya. Padahal aku kalo beli tiket bioskop sering lewat fitur ini",3,2024-04-01 09:16:39,BCA,2024-04,"Di mybca belum ada fitur lifestyle, seperti di bca mobile sayangnya. Padahal aku kalo beli tiket bioskop sering lewat fitur ini",negative
"2024 bukannya di service aplikasi nya dirawat tapi malah dibiarin keluhan customernya, baru kali ini BCA Fail
Padahal baru dinobatkan bank terbaik dunia 2024",1,2024-04-01 03:30:35,BCA,2024-04,"2024 bukannya di service aplikasi nya dirawat tapi malah dibiarin keluhan customernya, baru kali ini BCA Fail Padahal baru dinobatkan bank terbaik dunia 2024",negative
"Setelah update terakhir membuka nya jadi leg, kondisi jaringan di lokasi saya padahal bagus",1,2024-04-01 03:21:18,BCA,2024-04,"Setelah update terakhir membuka nya jadi leg, kondisi jaringan di lokasi saya padahal bagus",negative
"Jarang buka, tapi sering ke blokir sendiri, 1bln 2x keblokir 😭😭😭,, tolong tambahkan jenis tahapan tabunganku bisa di cek pakai my bca, jd kl cuma mau cek saldo ga perlu ke ATM",1,2024-03-31 16:35:14,BCA,2024-03,"Jarang buka, tapi sering ke blokir sendiri, 1bln 2x keblokir ,, tolong tambahkan jenis tahapan tabunganku bisa di cek pakai my bca, jd kl cuma mau cek saldo ga perlu ke ATM",negative
"Kurang fitur QRIS sumber dana bisa dari credit card, bakal tambah mantap!",4,2024-03-31 14:54:11,BCA,2024-03,"Kurang fitur QRIS sumber dana bisa dari credit card, bakal tambah mantap!",positive
"Ada bug di update terbaru, mau pilih tanggal mutasi waktu baru tap logo calendarnya aja udah crash. Mohon untuk bisa dipatch secepatnya ya 🙏",3,2024-03-31 05:51:18,BCA,2024-03,"Ada bug di update terbaru, mau pilih tanggal mutasi waktu baru tap logo calendarnya aja udah crash. Mohon untuk bisa dipatch secepatnya ya ",negative
"34 tahun jadi nasabah BCA, saya tidak pernah sekali pun dikecewakan.",5,2024-03-31 02:03:27,BCA,2024-03,"34 tahun jadi nasabah BCA, saya tidak pernah sekali pun dikecewakan.",positive
"Sampai dengan saat ini tdk ada notifikasi dana masuk. Ayo BCA, kapan fitur ini dibuat?",3,2024-03-30 16:40:02,BCA,2024-03,"Sampai dengan saat ini tdk ada notifikasi dana masuk. Ayo BCA, kapan fitur ini dibuat?",negative
Kenapa mybca tdak bisa topup flaz. Harus ke  mbca. Cuman hanya bisa cek saldo flaz. Coba di perbarui lagi pelayanan nya. Biar tidak perlu punya 2 aplikasi!,4,2024-03-30 11:49:59,BCA,2024-03,Kenapa mybca tdak bisa topup flaz. Harus ke mbca. Cuman hanya bisa cek saldo flaz. Coba di perbarui lagi pelayanan nya. Biar tidak perlu punya 2 aplikasi!,negative
Tolong di perbaharui lagi untuk pengecekan mutasi rekening nya bisa lebih mudah seperti mBca karena di myBca hanya tersedia fitur bulanan saja dan tidak bisa melihat mutasi yang terbaru. Terima kasih,3,2024-03-30 11:21:36,BCA,2024-03,Tolong di perbaharui lagi untuk pengecekan mutasi rekening nya bisa lebih mudah seperti mBca karena di myBca hanya tersedia fitur bulanan saja dan tidak bisa melihat mutasi yang terbaru. Terima kasih,negative
"It’s good, but litle bit slow then m-mbca",4,2024-03-30 09:17:21,BCA,2024-03,"Its good, but litle bit slow then m-mbca",positive
"GOOD JOB BCA! In my opinion, this mbanking app is the most convenient and secure in this latest version, it's really living up to our expectations. I'm truly proud to be using BCA!",5,2024-03-30 07:38:45,BCA,2024-03,"GOOD JOB BCA! In my opinion, this mbanking app is the most convenient and secure in this latest version, it's really living up to our expectations. I'm truly proud to be using BCA!",positive
"Tolong tambah pembayaran listrik, Token listrik dong",4,2024-03-30 05:05:12,BCA,2024-03,"Tolong tambah pembayaran listrik, Token listrik dong",negative
baru update version 12.0.0 malah gak bisa dibuka sama sekali in gimana😂,1,2024-03-30 04:39:46,BCA,2024-03,baru update version 12.0.0 malah gak bisa dibuka sama sekali in gimana,negative
Yeayyy.. akhirnya mybca sdh bisa transaksi pembelian pulsa pln..  BCA mantap👍..,5,2024-03-30 03:42:00,BCA,2024-03,Yeayyy.. akhirnya mybca sdh bisa transaksi pembelian pulsa pln.. BCA mantap..,positive
Sangat simpel untuk segala jenis transaksi,5,2024-03-30 02:03:00,BCA,2024-03,Sangat simpel untuk segala jenis transaksi,positive
"App tampilannya bagus dan simpel, mudah digunakan, bagus sekali, tapi fungsi dari appnya kurang reliabel, QRIS sering error, loading lama, overall oke, semoga diupdate supaya lebih stabil 👍",3,2024-03-30 01:24:26,BCA,2024-03,"App tampilannya bagus dan simpel, mudah digunakan, bagus sekali, tapi fungsi dari appnya kurang reliabel, QRIS sering error, loading lama, overall oke, semoga diupdate supaya lebih stabil ",negative
"applikasi perbankan yg sangat cukup lengkap, mulai dari transfer sesama bank, virtual accout, ke bank berbeda, dll
bisa segala macam,hingga mutasi kita bisa lihat (e statement) super lengkap…",5,2024-03-30 00:00:16,BCA,2024-03,"applikasi perbankan yg sangat cukup lengkap, mulai dari transfer sesama bank, virtual accout, ke bank berbeda, dll bisa segala macam,hingga mutasi kita bisa lihat (e statement) super lengkap",positive
Benchmark ke Mand*ri and CimbN*aga dong fiture and UI nya.,3,2024-03-29 22:46:52,BCA,2024-03,Benchmark ke Mand*ri and CimbN*aga dong fiture and UI nya.,positive
"Selama ini udah oke banged experience pake MyBCA,semoga bisa cepet tambahin fiturnya sampai ntar bisa lepas dari bca mobile.. ☺️☺️",5,2024-03-29 22:13:09,BCA,2024-03,"Selama ini udah oke banged experience pake MyBCA,semoga bisa cepet tambahin fiturnya sampai ntar bisa lepas dari bca mobile.. ",positive
"Registrasi dan pembuatan ID cepat dan mudah, fitur face id sudah oke, user interface sangat nyaman di lihat dan fungsional. Keren!",5,2024-03-29 21:03:07,BCA,2024-03,"Registrasi dan pembuatan ID cepat dan mudah, fitur face id sudah oke, user interface sangat nyaman di lihat dan fungsional. Keren!",positive
"Kami dari user pengguna Mobile Banking Bca mengucapkan TRIMA KASIH atas PELAYANAN yang sudah diberikan, semoga kedepan nya lebih baik lagi",5,2024-03-29 20:54:28,BCA,2024-03,"Kami dari user pengguna Mobile Banking Bca mengucapkan TRIMA KASIH atas PELAYANAN yang sudah diberikan, semoga kedepan nya lebih baik lagi",positive
"Aplikasi nya terlalu banyak loading, lemot sekali kalo mau bayar bayar",1,2024-03-29 19:10:09,BCA,2024-03,"Aplikasi nya terlalu banyak loading, lemot sekali kalo mau bayar bayar",negative
"apk sudah sangat baik, tapi mata sakit kalo transfer malem2 bikin dark mode dong",5,2024-03-29 17:31:03,BCA,2024-03,"apk sudah sangat baik, tapi mata sakit kalo transfer malem2 bikin dark mode dong",negative
"Kita kan udh ada aplikasi HaloBCA tuh. Nah, kenapa engga MyBCA kita integrasikan? Jd kalo ada masalah apa2, kita bisa hubungi HaloBCA langsung dr aplikasi MyBCA, biar bisa sekalian disambungin ke bagian yg terkait, ga perlu milih dulu gitu.

Terus, kalau ada transaksi saldo masuk, pengen ada notifnya. Kan pengeluaran udh ada nih, tinggal pemasukan.",5,2024-03-29 16:32:10,BCA,2024-03,"Kita kan udh ada aplikasi HaloBCA tuh. Nah, kenapa engga MyBCA kita integrasikan? Jd kalo ada masalah apa2, kita bisa hubungi HaloBCA langsung dr aplikasi MyBCA, biar bisa sekalian disambungin ke bagian yg terkait, ga perlu milih dulu gitu. Terus, kalau ada transaksi saldo masuk, pengen ada notifnya. Kan pengeluaran udh ada nih, tinggal pemasukan.",negative
"Semoga pengecekan managemen credit card bisa segera berpindah ke my bca ya, biar lebih ringkas juga",5,2024-03-29 16:03:00,BCA,2024-03,"Semoga pengecekan managemen credit card bisa segera berpindah ke my bca ya, biar lebih ringkas juga",positive
"Saat menambahkan penerima baru, tahu2 force close di iPhone 15 Pro Max, mohon segera diperbaiki",1,2024-03-29 15:09:46,BCA,2024-03,"Saat menambahkan penerima baru, tahu2 force close di iPhone 15 Pro Max, mohon segera diperbaiki",negative
"Makin suka sama mybca, makin lengkap dan tiap hari pasti pake",5,2024-03-29 12:31:40,BCA,2024-03,"Makin suka sama mybca, makin lengkap dan tiap hari pasti pake",positive
"How on earth this app cannot explain the specific reason of “verification failed”?? I repeatedly re-verify my ID card and face recogs turned out all of them failed without specific reason (it said error at ID data, while I have put the correct ones over and over again)

Do I have to waste my time visiting the bank CS just to solve this non-sense problem?",2,2024-03-29 05:43:01,BCA,2024-03,"How on earth this app cannot explain the specific reason of verification failed?? I repeatedly re-verify my ID card and face recogs turned out all of them failed without specific reason (it said error at ID data, while I have put the correct ones over and over again) Do I have to waste my time visiting the bank CS just to solve this non-sense problem?",negative
Kenao jadi lelet begini ya? Dulu pake bca karena suka sama kecepatan aplikasinya dibanding bank bank lain . Ini malah lelet banget sekarang,1,2024-03-28 08:07:33,BCA,2024-03,Kenao jadi lelet begini ya? Dulu pake bca karena suka sama kecepatan aplikasinya dibanding bank bank lain . Ini malah lelet banget sekarang,negative
"Please lemot bgt aplikasinya, secara UI memang jauh lebih oke tapi proses datanya kaya berat bgt deh ini 😮‍💨",1,2024-03-28 05:47:00,BCA,2024-03,"Please lemot bgt aplikasinya, secara UI memang jauh lebih oke tapi proses datanya kaya berat bgt deh ini ",negative
Lelet banget ini aplikasi asli sampah,1,2024-03-28 03:14:43,BCA,2024-03,Lelet banget ini aplikasi asli sampah,negative
snail app,1,2024-03-28 02:31:17,BCA,2024-03,snail app,positive
"Fitur notif pemasukan dong, lelah spam refresh tiap akhir bulan",4,2024-03-26 09:37:03,BCA,2024-03,"Fitur notif pemasukan dong, lelah spam refresh tiap akhir bulan",negative
"Minta tolong di menu riwayat transaksi dimasukkan juga ""transaksi uang masuk"", supaya kalau mau ngecek uang masuk bisa jauh lebih cepat..",4,2024-03-26 06:38:59,BCA,2024-03,"Minta tolong di menu riwayat transaksi dimasukkan juga ""transaksi uang masuk"", supaya kalau mau ngecek uang masuk bisa jauh lebih cepat..",negative
"Ayo dong BCA, masa kalah sama Bank Mandiri.. ayo dong di tunggu pembayaran Qris sumber kartu kredit.. belanja sekalian ngumpulin miles nih.. bisa yuk.. di tunggu update nya",4,2024-03-25 12:59:16,BCA,2024-03,"Ayo dong BCA, masa kalah sama Bank Mandiri.. ayo dong di tunggu pembayaran Qris sumber kartu kredit.. belanja sekalian ngumpulin miles nih.. bisa yuk.. di tunggu update nya",negative
"Katanya verifikasi nomor hp, tp gak loading2. Terus inputan nomor HP nya emang manaaa?",2,2024-03-25 08:01:53,BCA,2024-03,"Katanya verifikasi nomor hp, tp gak loading2. Terus inputan nomor HP nya emang manaaa?",negative
"Senang banget bisa kombinasi beberapa akun bca di satu aplikasi. Tolong fokus ke fitur perbankan aja dong, jangan sok2 jadi super app kebanyakan fitur, sehingga aplikasi jadi lambat, loading terus terusan dan akhirnya malah sulit dipakai untuk aktivitas perbankan mendasar",3,2024-03-25 04:39:07,BCA,2024-03,"Senang banget bisa kombinasi beberapa akun bca di satu aplikasi. Tolong fokus ke fitur perbankan aja dong, jangan sok2 jadi super app kebanyakan fitur, sehingga aplikasi jadi lambat, loading terus terusan dan akhirnya malah sulit dipakai untuk aktivitas perbankan mendasar",negative
"Terlalu sering error, gagal login gagal transfer, berujung uang nyangkut dan harus telpon sana sini lagi",1,2024-03-25 04:14:43,BCA,2024-03,"Terlalu sering error, gagal login gagal transfer, berujung uang nyangkut dan harus telpon sana sini lagi",negative
"Lemot sering eror
Benerin lah coba ini apps bagus padahal.
Kaya bank bank digital kekinian.",1,2024-03-25 03:04:36,BCA,2024-03,Lemot sering eror Benerin lah coba ini apps bagus padahal. Kaya bank bank digital kekinian.,negative
"Sejak update ke iOS17, saya tidak dapat login ke aplikasi MyBCA.",3,2024-03-24 10:51:17,BCA,2024-03,"Sejak update ke iOS17, saya tidak dapat login ke aplikasi MyBCA.",negative
Ngabisin pulsa cuma buat daftar tpi gak bisa2,1,2024-03-24 02:54:58,BCA,2024-03,Ngabisin pulsa cuma buat daftar tpi gak bisa2,negative
